Configuration
batch_size = 128
cuda = True
data = './data/wikitext-2'
dry_run = False
emsize = 100
epochs = 10
eval_batch_size = 128
log_interval = 200
lr = 0.001
nhid = 100
onnx_export = ''
save = 'model.pt'
seed = 1111
seq_size = 6
skip_train = False
tied = False

| epoch   3 |  3400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.83 | ppl    16.99
| epoch   3 |  3600/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.81 | ppl    16.67
| epoch   3 |  3800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.81 | ppl    16.61
| epoch   3 |  4000/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.80 | ppl    16.50
| epoch   3 |  4200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.82 | ppl    16.71
| epoch   3 |  4400/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.83 | ppl    16.99
| epoch   3 |  4600/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.80 | ppl    16.37
| epoch   3 |  4800/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.80 | ppl    16.36
| epoch   3 |  5000/16311 batches | lr 1.00e-03 | ms/batch  5.60 | loss  2.80 | ppl    16.52
| epoch   3 |  5200/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.78 | ppl    16.15
| epoch   3 |  5400/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.78 | ppl    16.10
| epoch   3 |  5600/16311 batches | lr 1.00e-03 | ms/batch  5.59 | loss  2.79 | ppl    16.23
| epoch   3 |  5800/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.78 | ppl    16.09
| epoch   3 |  6000/16311 batches | lr 1.00e-03 | ms/batch  5.58 | loss  2.80 | ppl    16.44
| epoch   3 |  6200/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.78 | ppl    16.14
| epoch   3 |  6400/16311 batches | lr 1.00e-03 | ms/batch  5.57 | loss  2.82 | ppl    16.70
| epoch   3 |  6600/16311 batches | lr 1.00e-03 | ms/batch  5.56 | loss  2.81 | ppl    16.69
